City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,8.44,85,75,8.05,light shower snow
80,Oussouye,SN,12.485,-16.5469,89.69,52,0,8.97,clear sky
81,Alofi,NU,-19.0595,-169.9187,76.89,94,0,2.3,clear sky
82,Kruisfontein,ZA,-34.0033,24.7314,60.89,80,8,5.95,light rain
83,Manakara,MG,-22.1333,48.0167,76.51,93,100,9.69,light rain
84,Hobart,AU,-42.8794,147.3294,55.26,83,100,2.3,overcast clouds
85,Faya,SA,18.3851,42.4509,54.12,71,15,2.3,few clouds
86,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,28,20,12.66,few clouds
87,Makakilo City,US,21.3469,-158.0858,72.45,68,75,21.85,light rain
88,Guerrero Negro,MX,27.9769,-114.0611,66.76,35,100,3.27,overcast clouds
89,Saint Anthony,US,45.0205,-93.218,5.25,74,0,13.8,clear sky
90,Teknaf,BD,20.8624,92.3058,63.1,77,61,5.97,broken clouds
91,Nikolskoye,RU,59.7035,30.7861,14.81,95,100,6.51,overcast clouds
92,Kasongo-Lunda,CD,-6.4667,16.8167,70.75,90,100,2.17,overcast clouds
93,Chokurdakh,RU,70.6333,147.9167,-7.89,100,55,2.55,broken clouds
94,Khvastovichi,RU,53.4694,35.0941,25.72,96,100,8.19,snow
95,East London,ZA,-33.0153,27.9116,63.54,94,75,11.5,light rain
96,Pisco,PE,-13.7,-76.2167,73.02,83,75,8.05,broken clouds
97,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,14.97,few clouds
98,Kutum,SD,14.2,24.6667,67.73,27,41,9.31,scattered clouds
99,Maceio,BR,-9.6658,-35.7353,87.24,58,20,17.27,few clouds
100,Tagusao,PH,9.1924,117.8141,79.3,82,98,3.87,overcast clouds
101,Nikolayevka,RU,53.1257,47.2041,22.33,84,100,8.05,overcast clouds
102,Ilulissat,GL,69.2167,-51.1,2.07,74,30,5.77,scattered clouds
103,Hithadhoo,MV,-0.6,73.0833,80.96,70,100,11.92,overcast clouds
104,Morgan City,US,29.6994,-91.2068,51.8,93,100,14.97,overcast clouds
105,Eureka,US,40.8021,-124.1637,48.81,83,99,4.29,overcast clouds
106,Khatanga,RU,71.9667,102.5,-33.92,100,67,3.62,broken clouds
107,Berlevag,NO,70.8578,29.0864,24.75,63,40,1.14,scattered clouds
108,Dunedin,NZ,-45.8742,170.5036,50.81,90,100,4.0,overcast clouds
109,Tupelo,US,34.2576,-88.7034,47.34,65,100,6.91,overcast clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,79.61,65,0,5.75,clear sky
111,Te Anau,NZ,-45.4167,167.7167,47.48,82,50,2.19,scattered clouds
112,Zhicheng,CN,30.2956,111.5047,43.45,64,0,3.87,clear sky
113,Qaanaaq,GL,77.484,-69.3632,-15.9,69,9,6.82,clear sky
114,Paamiut,GL,61.994,-49.6678,13.35,58,0,8.5,clear sky
115,Isangel,VU,-19.55,169.2667,79.5,79,3,3.44,clear sky
116,Constitucion,CL,-35.3333,-72.4167,67.42,60,80,8.03,broken clouds
117,Khor,RU,47.8861,134.9464,-12.66,93,23,4.29,few clouds
118,Yulara,AU,-25.2406,130.9889,79.9,30,81,14.23,broken clouds
119,Chapais,CA,49.7834,-74.8492,17.38,90,100,3.31,overcast clouds
120,Kattivakkam,IN,13.2167,80.3167,77.09,80,100,11.14,overcast clouds
121,Cabildo,AR,-38.4842,-61.8954,94.8,16,8,12.21,clear sky
122,Bathsheba,BB,13.2167,-59.5167,84.81,86,40,18.41,scattered clouds
123,Lucapa,AO,-8.4192,20.7447,64.2,92,96,2.93,overcast clouds
124,Vestmanna,FO,62.1564,-7.1664,40.12,87,75,4.61,light rain
125,Sao Filipe,CV,14.8961,-24.4956,77.85,63,0,13.6,clear sky
126,Ouango,CF,4.3133,22.5552,76.1,50,100,2.91,overcast clouds
127,Manokwari,ID,-0.8667,134.0833,78.39,82,100,6.38,overcast clouds
128,Cape Town,ZA,-33.9258,18.4232,68.11,73,20,23.02,few clouds
129,Krutinka,RU,56.0055,71.5113,5.07,93,100,7.34,overcast clouds
130,Acapulco,MX,16.8634,-99.8901,87.62,58,20,6.91,few clouds
131,Cayenne,GF,4.9333,-52.3333,82.44,74,75,11.5,broken clouds
