City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Lensk,RU,2022-12-19 19:01:56,60.7253,114.9278,-4.97,96,100,7.05
69,Punta Arenas,CL,2022-12-19 19:01:56,-53.15,-70.9167,62.11,36,97,18.37
70,Bambous Virieux,MU,2022-12-19 19:01:57,-20.3428,57.7575,78.22,83,40,1.14
71,Hobart,AU,2022-12-19 18:57:13,-42.8794,147.3294,52.05,87,40,0.0
72,Cockburn Town,TC,2022-12-19 19:01:57,21.4612,-71.1419,79.23,71,73,8.37
73,Bauta,CU,2022-12-19 19:01:57,22.9828,-82.5464,75.09,88,75,6.91
74,Atuona,PF,2022-12-19 19:01:58,-9.8,-139.0333,78.33,78,100,17.87
75,Petropavlovsk-Kamchatskiy,RU,2022-12-19 19:01:58,53.0452,158.6483,21.79,68,75,15.66
76,Esperance,AU,2022-12-19 19:01:58,-33.8667,121.9,57.92,89,23,6.26
77,Shache,CN,2022-12-19 19:01:59,38.4167,77.2406,21.11,50,41,2.48
78,Oriximina,BR,2022-12-19 19:01:59,-1.7656,-55.8661,88.59,52,84,2.57
79,Arraial Do Cabo,BR,2022-12-19 19:01:59,-22.9661,-42.0278,73.56,83,100,16.82
80,Krasnyy Chikoy,RU,2022-12-19 19:02:00,50.3643,108.7512,-8.64,99,89,3.0
81,Bengkulu,ID,2022-12-19 19:02:00,-3.8004,102.2655,75.97,87,100,4.65
82,Sur,OM,2022-12-19 19:02:00,22.5667,59.5289,74.53,56,1,3.58
83,Wamba,NG,2022-12-19 19:02:01,8.9333,8.6,74.89,17,26,2.1
84,New Plymouth,NZ,2022-12-19 19:00:57,-39.0667,174.0833,64.56,100,87,6.73
85,Wahiawa,US,2022-12-19 19:02:01,21.5028,-158.0236,68.32,71,100,17.27
86,Ust-Kan,RU,2022-12-19 19:02:02,50.9276,84.761,16.88,93,100,5.21
87,Sainte-Anne-Des-Monts,CA,2022-12-19 18:58:33,49.124,-66.4924,33.67,93,100,23.02
88,Jiexiu,CN,2022-12-19 19:02:03,37.0244,111.9125,33.37,28,100,6.91
89,Ouegoa,NC,2022-12-19 19:02:04,-20.35,164.4333,77.38,84,37,4.81
90,Puerto Ayora,EC,2022-12-19 19:02:04,-0.7393,-90.3518,75.54,86,63,7.0
91,Bredasdorp,ZA,2022-12-19 19:02:04,-34.5322,20.0403,63.99,68,14,6.64
92,Smithers,CA,2022-12-19 19:00:39,54.7804,-127.1743,-6.68,80,10,2.64
93,Areka,ET,2022-12-19 19:02:05,7.0667,37.7,67.42,48,99,5.19
94,Ribeira Grande,PT,2022-12-19 19:03:06,38.5167,-28.7,64.8,88,40,21.99
95,Hamilton,US,2022-12-19 19:00:01,39.1834,-84.5333,33.58,61,100,1.99
96,Yellowknife,CA,2022-12-19 19:03:06,62.456,-114.3525,-9.29,97,100,8.19
97,Sunrise Manor,US,2022-12-19 19:03:07,36.2111,-115.0731,54.25,32,0,5.75
98,Vao,NC,2022-12-19 19:03:08,-22.6667,167.4833,76.41,81,100,14.81
99,Sitka,US,2022-12-19 19:03:09,57.0531,-135.33,13.15,74,4,6.62
100,Baruun-Urt,MN,2022-12-19 19:01:14,46.6806,113.2792,-4.49,89,100,3.47
101,Ancud,CL,2022-12-19 19:03:09,-41.8697,-73.8203,60.82,60,100,7.96
102,Vardo,NO,2022-12-19 19:03:10,70.3705,31.1107,24.78,80,75,13.8
103,Praia,CV,2022-12-19 19:03:10,14.9215,-23.5087,77.54,61,0,18.41
104,Denpasar,ID,2022-12-19 19:03:11,-8.65,115.2167,78.46,83,20,4.61
105,Kondagaon,IN,2022-12-19 19:03:11,19.6,81.6667,56.7,38,94,1.54
106,Qaanaaq,GL,2022-12-19 19:03:12,77.484,-69.3632,5.67,93,94,3.56
107,Ixtapa,MX,2022-12-19 19:00:27,20.7,-105.2,84.07,41,0,6.17
108,Avarua,CK,2022-12-19 19:03:13,-21.2078,-159.775,78.85,78,40,9.22
109,Todos Santos,MX,2022-12-19 19:03:14,23.45,-110.2167,79.05,64,7,6.51
110,Necochea,AR,2022-12-19 19:03:15,-38.5473,-58.7368,80.49,39,72,21.27
111,Manadhoo,MV,2022-12-19 19:03:15,5.7667,73.3833,81.03,75,97,8.16
112,Taoudenni,ML,2022-12-19 19:00:07,22.6783,-3.9836,71.53,19,0,10.78
113,Westport,US,2022-12-19 19:01:01,41.1415,-73.3579,40.28,55,24,10.0
114,Poum,NC,2022-12-19 18:58:47,-20.2333,164.0167,78.44,82,25,16.55
115,Victoria,HK,2022-12-19 19:03:17,22.2855,114.1577,61.25,80,67,13.0
116,Sorbhog,IN,2022-12-19 19:03:17,26.5,90.8667,61.86,64,67,2.75
117,Concordia,AR,2022-12-19 19:00:06,-31.393,-58.0209,90.79,40,0,11.01
118,Aklavik,CA,2022-12-19 19:03:19,68.2191,-135.0107,-25.56,94,18,7.83
119,Bathsheba,BB,2022-12-19 19:03:19,13.2167,-59.5167,80.06,87,29,19.15
120,Provideniya,RU,2022-12-19 19:03:20,64.3833,-173.3,20.12,84,86,16.58
121,Fort Frances,CA,2022-12-19 19:03:21,48.5999,-93.4003,4.15,84,100,3.0
122,Buraydah,SA,2022-12-19 19:02:59,26.326,43.975,60.53,36,0,7.14
123,Cabo San Lucas,MX,2022-12-19 19:03:22,22.8909,-109.9124,77.5,60,20,9.22
124,Pathein,MM,2022-12-19 19:03:22,16.7833,94.7333,71.13,90,100,2.51
125,Fairview,US,2022-12-19 19:01:30,40.8126,-73.999,39.7,52,0,20.71
126,Mar Del Plata,AR,2022-12-19 19:03:23,-38.0023,-57.5575,83.82,84,9,21.99
127,Kungurtug,RU,2022-12-19 19:03:23,50.5994,97.5228,-11.13,95,100,1.83
128,Shakawe,BW,2022-12-19 19:03:23,-18.3667,21.85,83.3,36,85,8.21
129,Nanortalik,GL,2022-12-19 19:03:24,60.1432,-45.2371,18.34,66,5,6.93
130,Karla,EE,2022-12-19 19:03:24,59.3723,24.9275,28.56,82,40,9.22
131,Belomorsk,RU,2022-12-19 19:03:25,64.5232,34.7668,14.79,96,78,5.66
132,Yulara,AU,2022-12-19 19:03:26,-25.2406,130.9889,78.91,35,97,3.49
133,Khor,RU,2022-12-19 19:03:26,47.8861,134.9464,-10.17,92,16,7.43
134,Castro,BR,2022-12-19 19:03:26,-24.7911,-50.0119,66.2,83,100,6.93
135,Hilo,US,2022-12-19 19:00:08,19.7297,-155.09,76.24,92,100,5.99
136,Upernavik,GL,2022-12-19 19:03:27,72.7868,-56.1549,26.02,68,100,8.23
137,Emporia,US,2022-12-19 19:03:27,38.4039,-96.1817,39.51,77,91,13.76
138,Great Falls,US,2022-12-19 18:59:26,47.5002,-111.3008,-4.34,70,40,5.75
139,Bara,NG,2022-12-19 19:04:28,10.3744,10.7288,73.06,19,4,8.34
140,Kamaishi,JP,2022-12-19 19:04:28,39.2667,141.8833,28.81,80,31,6.62
141,Lorengau,PG,2022-12-19 19:01:22,-2.0226,147.2712,79.27,81,100,4.03
142,Rundu,NA,2022-12-19 19:04:29,-17.9333,19.7667,83.55,21,98,5.35
143,Kouroussa,GN,2022-12-19 19:04:29,10.65,-9.8833,80.51,19,90,4.16
144,Grand Gaube,MU,2022-12-19 19:04:30,-20.0064,57.6608,78.39,69,83,5.99
145,Bayangol,RU,2022-12-19 19:04:30,50.6977,103.4656,-12.01,100,96,2.75
146,Harper,LR,2022-12-19 19:04:31,4.375,-7.7169,79.66,79,15,6.73
147,Comodoro Rivadavia,AR,2022-12-19 19:04:31,-45.8667,-67.5,69.66,43,0,20.71
148,Vaini,TO,2022-12-19 19:04:31,-21.2,-175.2,80.76,83,40,9.22
149,Khandyga,RU,2022-12-19 19:04:32,62.6667,135.6,-43.46,100,87,1.59
150,Phek,IN,2022-12-19 19:04:32,25.6667,94.5,44.28,85,69,1.81
151,Miles City,US,2022-12-19 19:04:32,46.4083,-105.8406,0.57,78,100,9.22
152,Lompoc,US,2022-12-19 19:01:07,34.6391,-120.4579,59.85,64,51,3.0
153,Nuuk,GL,2022-12-19 19:04:33,64.1835,-51.7216,32.61,34,0,11.5
154,Santa Vitoria,BR,2022-12-19 19:04:33,-18.8386,-50.1214,83.1,63,99,4.32
155,Adrar,MR,2022-12-19 19:04:34,20.5022,-10.0711,72.66,17,0,12.03
156,Cubara,CO,2022-12-19 19:04:34,7.0008,-72.1085,88.03,43,98,4.79
157,Santa Ines,BR,2022-12-19 19:01:53,-3.6667,-45.38,83.52,72,99,3.49
158,Dikson,RU,2022-12-19 19:04:34,73.5069,80.5464,-18.53,97,71,1.14
159,Nara,JP,2022-12-19 19:02:01,34.6851,135.8049,31.91,64,9,5.08
160,Show Low,US,2022-12-19 19:01:02,34.2542,-110.0298,47.08,44,0,4.61
161,Severo-Kurilsk,RU,2022-12-19 19:04:35,50.6789,156.125,29.23,84,93,30.94
162,Biking,PH,2022-12-19 19:04:36,9.5938,123.843,78.33,82,100,8.48
163,Cherskiy,RU,2022-12-19 19:04:36,68.75,161.3,20.39,72,18,6.8
164,Sao Filipe,CV,2022-12-19 19:04:36,14.8961,-24.4956,78.75,57,30,11.92
